figure,name,figurePartId,refs,partNumber,description,quantity,mappedPointers,numericContours,retainedMasks,labelOnly,baselinePointers,addedPointers,remainingExpected,countStatus,reviewRequired,sourceReview,sourceEvidence,remarks,drawing,reviewUrl
"fig-frame-assy-2-1","Bumper and hitch receiver","fp-2-1-05","5","70-02270","Receiver hitch bumper","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","FRONT OR REAR BUMPER","/drawings/ft3w/review-source-20260908/ft3w-frame-assy-2-1.png","/review/figures/fig-frame-assy-2-1"
"fig-frame-assy-2-1","Bumper and hitch receiver","fp-2-1-06","6","19-00210","NONSLIP UNTHREADED BUMPER WITH UNTHREADED HOLE, 2-1/2 LONG x 5/8"" WIDE x 1/4"" HIGH""","2","1","1","0","0","1","0","1","shortfall","true","","Source table explicitly states: OTHER SIDE NOT SHOWN. No contours invented for these omitted locations.","OTHER SIDE NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-frame-assy-2-1.png","/review/figures/fig-frame-assy-2-1"
"fig-frame-assy-2-1","Bumper and hitch receiver","fp-2-1-07","7","62-00881","Door stopper shim","2","1","1","0","0","1","0","1","shortfall","true","","Source table explicitly states: OTHER SIDE NOT SHOWN. No contours invented for these omitted locations.","OTHER SIDE NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-frame-assy-2-1.png","/review/figures/fig-frame-assy-2-1"
"fig-frame-assy-2-1","Bumper and hitch receiver","fp-2-1-09","","10-110100-121","Hex screw din 931 m10 x 1.5 x 100 - zinc plated - class 8.8","2","0","0","0","0","0","0","2","unmapped","true","","Source table explicitly states: NOT SHOWN. No contours invented for these omitted locations.","NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-frame-assy-2-1.png","/review/figures/fig-frame-assy-2-1"
"fig-frame-assy-2-1","Bumper and hitch receiver","fp-2-1-08","","10-210016-121","M10 x 16 hex flanged screw","4","0","0","0","0","0","0","4","unmapped","true","","Source table explicitly states: NOT SHOWN. No contours invented for these omitted locations.","NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-frame-assy-2-1.png","/review/figures/fig-frame-assy-2-1"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-01","1","82-00127","Pintle hook","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","TOW PACKAGE OPTION (88-00023)","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-02","2","87-00136","Winch fairlead","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-03","3","80-00013","Winch mounted hitch receiver","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-04","4","10-710050-145","M12 threaded rod studs","4","4","4","0","0","4","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-05","5","87-00320","Front winch bumper","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-06","6","87-00107","Warn 81400 contactor","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-07","7","87-00071","8000 lbs winch","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-08","8","62-00881","Door stopper shim","2","1","1","0","0","1","0","1","shortfall","true","","Source table explicitly states: FOR ADJSUTMENT - OTHER SIDE NOT SHOWN. No contours invented for these omitted locations.","FOR ADJSUTMENT - OTHER SIDE NOT SHOWN","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-09","9","19-00210","NONSLIP UNTHREADED BUMPER WITH UNTHREADED HOLE, 2-1/2 LONG x 5/8"" WIDE x 1/4"" HIGH""","2","1","1","0","0","1","0","1","shortfall","true","","Source table explicitly states: OTHER SIDE NOT SHOWN. No contours invented for these omitted locations.","OTHER SIDE NOT SHOWN","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-10","10","10-110100-121","Hex screw din 931 m10 x 1.5 x 100 - zinc plated - class 8.8","3","2","2","0","0","1","1","1","shortfall","true","","Source table explicitly states: MIDDLE NOT SHOWN. No contours invented for these omitted locations.","MIDDLE NOT SHOWN","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-11","11","13-110020-122","Zinc-plated steel washer, din 125, m10 screw size, 10.5 mm id, 20 mm od","3","2","2","0","0","1","1","1","shortfall","true","","Source table explicitly states: MIDDLE NOT SHOWN. No contours invented for these omitted locations.","MIDDLE NOT SHOWN","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-12","12","12-210000-122","Hex flanged nut top lock din 6927 m10 x 1.5 - zinc plated - class 10","3","2","2","0","0","1","1","1","shortfall","true","","Source table explicitly states: MIDDLE NOT SHOWN. No contours invented for these omitted locations.","MIDDLE NOT SHOWN","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-17","17","87-00332","Roller type fairlead 10''","1","0","0","0","0","0","0","1","unmapped","true","","No source-supported visible contour or unique same-reference pointer established on inspected plate; row remains withheld.","SPECIAL FAIRLEAD WITH LOW PROFILE ROLLERS","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-13","","10-504020-120","Door stopper screw","4","0","0","0","0","0","0","4","unmapped","true","","Source table explicitly states: NOT SHOWN - FOR 19-00210. No contours invented for these omitted locations.","NOT SHOWN - FOR 19-00210","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-14","","12-504000-121","MEDIUM-STRENGTH STEEL NYLON-INSERT LOCKNUT, CLASS 8, ZINC-PLATED, M4 X 0.7 mm THREAD","4","0","0","0","0","0","0","4","unmapped","true","","Source table explicitly states: NOT SHOWN - FOR 19-00210. No contours invented for these omitted locations.","NOT SHOWN - FOR 19-00210","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-16","","87-00195","Winch remote","1","0","0","0","0","0","0","1","unmapped","true","","Source table explicitly states: NOT SHOWN - REPLACEMENT PART. No contours invented for these omitted locations.","NOT SHOWN - REPLACEMENT PART","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-frame-assy-2-2","Bumper and winch (option 88-00262 / 88-00263)","fp-2-2-15","","87-00329","Warn winch rope 8000 lbs 100ft","1","0","0","0","0","0","0","1","unmapped","true","","Source table explicitly states: NOT SHOWN - REPLACEMENT PART. No contours invented for these omitted locations.","NOT SHOWN - REPLACEMENT PART","/drawings/ft3w/ft3w-frame-assy-2-2.png","/review/figures/fig-frame-assy-2-2"
"fig-drive-system-3-1","Hydraulic motor assembly","fp-3-1-01","1","51-00045","Hydraulic motor (poclain mse08)","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","WITH AIR GAP","/drawings/ft3w/review-source-20260908/ft3w-drive-system-3-1.png","/review/figures/fig-drive-system-3-1"
"fig-drive-system-3-1","Hydraulic motor assembly","fp-3-1-02","2","10-316060-121","Socket head screw m16 x 2.0 x 60 class 12.9","10","10","10","0","0","1","9","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","MOUNTING HARDWARE","/drawings/ft3w/review-source-20260908/ft3w-drive-system-3-1.png","/review/figures/fig-drive-system-3-1"
"fig-drive-system-3-1","Hydraulic motor assembly","fp-3-1-03","3","12-216000-122","Hex flanged nut top lock din 6927 m16 x 2 - zinc plated - class 10","10","10","10","0","0","1","9","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","MOUNTING HARDWARE","/drawings/ft3w/review-source-20260908/ft3w-drive-system-3-1.png","/review/figures/fig-drive-system-3-1"
"fig-drive-system-3-1","Hydraulic motor assembly","fp-3-1-04","4","19-00204","WHEEL STUD M14-1.50 / 15.90 KNURL / 78 mm LG","8","8","8","0","0","1","7","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/review-source-20260908/ft3w-drive-system-3-1.png","/review/figures/fig-drive-system-3-1"
"fig-drive-system-3-1","Hydraulic motor assembly","fp-3-1-07","","19-00511","Oil resistant o-ring","1","0","0","0","0","0","0","1","unmapped","true","","Source table explicitly states: WHEEL SEAL - NOT SHOWN. No contours invented for these omitted locations.","WHEEL SEAL - NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-drive-system-3-1.png","/review/figures/fig-drive-system-3-1"
"fig-drive-system-3-1","Hydraulic motor assembly","fp-3-1-05","","46-00107","Speed sensor","1","0","0","0","0","0","0","1","unmapped","true","","Source table explicitly states: NOT SHOWN. No contours invented for these omitted locations.","NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-drive-system-3-1.png","/review/figures/fig-drive-system-3-1"
"fig-drive-system-3-1","Hydraulic motor assembly","fp-3-1-06","","56-00066","Hydraulic motor sound cover","4","0","0","0","0","0","0","4","unmapped","true","","Source table explicitly states: NOT SHOWN. No contours invented for these omitted locations.","NOT SHOWN","/drawings/ft3w/review-source-20260908/ft3w-drive-system-3-1.png","/review/figures/fig-drive-system-3-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-01","1","50-00036","Hydrostatic pump front","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-02","2","50-00035","Hydrostatic pump rear","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-03","3","56-00007","Hydraulic oil cartridge","2","2","2","0","0","2","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-04","4","56-00009","Hydraulic oil filter housing","2","2","2","0","0","2","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-05","5","56-00019","Manifold","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-06","6","52-00004","Bloc valve","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-07","7","56-00035","Pressure transmitter","2","2","2","0","0","2","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-08","8","59-00037","High pressure filter support","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-09","9","54-00618","45 deg hyd. fitting","4","2","2","0","0","2","0","2","shortfall","true","","Plate shows only 2 independently identifiable 45 deg hyd. fitting instance(s); remaining locations are occluded or not separately depicted, and quantity alone does not locate them.","2 ON THE OTHER BACKSIDE OF REAR BUMP","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-10","10","54-00251","Hydraulic hose adapter","4","2","2","0","0","2","0","2","shortfall","true","","Plate shows only 2 independently identifiable Hydraulic hose adapter instance(s); remaining locations are occluded or not separately depicted, and quantity alone does not locate them.","2 ON THE OTHER BACKSIDE OF REAR BUMP","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-11","11","54-00901","Hydraulic hose adapter","2","2","2","0","0","2","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-12","12","54-01131","Hyd. fitting","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-13","13","54-00098","Hydraulic hose adpater","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-14","14","54-00024","Hyd. fitting","3","3","3","0","0","3","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-15","15","54-00047","Hyd. tee fitting","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-16","16","54-00457","Hyd. fitting","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-17","17","54-00041","Hyd. fitting","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-18","18","54-00045","Hyd. fitting","2","2","2","0","0","2","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-19","19","54-01083","90 deg hyd. fitting","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-20","20","54-01032","Hyd. fitting","2","2","2","0","0","2","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-21","21","19-00340","Plug","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-22","22","54-00749","Hyd. stauff test point fitting","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-23","23","52-00031","Thermostatic valve","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-24","24","54-00980","Hyd. fitting plug","2","2","2","0","0","2","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-25","25","54-00385","Hydraulic hose fitting","4","2","2","0","0","2","0","2","shortfall","true","","Two loose Ref.25 fittings are visible beside manifold; table locates additional fittings one on each pump, but dense pump port outlines do not establish separable visible contours for them.","1 LOCATED ON EACH PUMP","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-1","Hydraulic system","fp-4-1-26","26","54-00800","Hydraulic hose adapter","2","1","1","0","0","1","0","1","shortfall","true","","Only one isolated Ref.26 adapter is drawn at bottom right; no second uniquely identifiable adapter contour or leader exists on this plate.","","/drawings/ft3w/ft3w-hydraulic-4-1.png","/review/figures/fig-hydraulic-4-1"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-01","1","34-00582","Radiator","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-02","2","34-00599","Fan shroud","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-03","3","34-00194","Pusher fan 17/8-8/40/pag/1hr/p .948 (4).265 1.575","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-04","4","34-00596","Fan motor support","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-05","5","51-00006","Gear motor","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-06","6","34-00581","Surge tank assembly","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-07","7","34-00946","Radiator mount","4","1","1","0","0","1","0","3","shortfall","true","","Plate shows only 1 independently identifiable Radiator mount instance(s); remaining locations are occluded or not separately depicted, and quantity alone does not locate them.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-08","8","19-00739","Radiator bushing support","4","1","1","0","0","1","0","3","shortfall","true","","Plate shows only 1 independently identifiable Radiator bushing support instance(s); remaining locations are occluded or not separately depicted, and quantity alone does not locate them.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-09","9","34-00947","Upper radiator support","2","2","2","0","0","1","1","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-10","10","34-00778","Fan spacer","2","1","1","0","0","1","0","1","shortfall","true","","Plate shows only 1 independently identifiable Fan spacer instance(s); remaining locations are occluded or not separately depicted, and quantity alone does not locate them.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-11","11","34-00099","Fan hub","1","1","1","0","0","1","0","0","match","false","","All table-quantity instances identified on the inspected source plate; contour detail remains subject to existing partial-geometry notes.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
"fig-hydraulic-4-2","Hydraulic fan","fp-4-2-12","12","34-00504","Heater hoses dia 5/16''","2","1","1","0","0","1","0","1","shortfall","true","","Plate shows only 1 independently identifiable Heater hoses dia 5/16'' instance(s); remaining locations are occluded or not separately depicted, and quantity alone does not locate them.","","/drawings/ft3w/ft3w-hydraulic-4-2.png","/review/figures/fig-hydraulic-4-2"
